"Symbol","Scientific Name with Author","GSAT Common Name"
"ALAEA","Alopecurus aequalis Sobol. var. aequalis","SHORTAWN FOXTAIL"
"ALAL3","Alyssum alyssoides (L.) L.","yellow alyssum"
"ALAN","Allium anceps Kellogg","Kellogg's onion"
"ALAR","Alopecurus arundinaceus Poir.","creeping meadow foxtail"
"ALAT","Allium atrorubens S. Watson","red onion"
"ALATA","Allium atrorubens S. Watson var. atrorubens","darkred onion"
"ALATC","Allium atrorubens S. Watson var. cristatum (S. Watson) McNeal","wild onion"
"ALBI2","Allium bisceptrum S. Watson","twincrest onion"
"ALBIB","Allium bisceptrum S. Watson var. bisceptrum","twincrest onion"
"ALBIP","Allium bisceptrum S. Watson var. palmeri (S. Watson) Cronquist","aspen onion"
"ALBR","Allium brandegeei S. Watson","Brandegee's onion"
"ALCA2","Allium campanulatum S. Watson","Sierra onion"
"ALCA4","Alopecurus carolinianus Walter","CAROLINA FOXTAIL"
"ALCEA","Alcea L.","alcea"
"ALDE","Alyssum desertorum Stapf","desert alyssum"
"ALGE","Allium geyeri S. Watson","Geyer's onion"
"ALGE2","Alopecurus geniculatus L.","water foxtail"
"ALGEG","Allium geyeri S. Watson var. geyeri","Geyer's onion"
"ALGET","Allium geyeri S. Watson var. tenerum M.E. Jones","bulbil onion"
"ALGI","Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant","blue false gilia"
"ALGIG","Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant ssp. gilioides","dense false gilia"
"ALGIV","Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant ssp. violaceum (A. Heller) Day","Sierra gilia"
"ALGIV","Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant ssp. violaceum (A. Heller) Day","dense false gilia"
"ALGR","Alisma gramineum Lej.","narrowleaf water plantain"
"ALHAG","Alhagi Gagnebin","Alhagi"
"ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","Hutchin's gilia"
"ALIN","Allionia incarnata L.","trailing windmills"
"ALIN2","Alnus incana (L.) Moench","mountain alder"
"ALIN3","Allophyllum integrifolium (Brand) A.D. Grant & V.E. Grant","mountain false gilia"
"ALINT","Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung","thinleaf alder"
"ALISM","Alisma L.","water plantain"
"ALJU","Albizia julibrissin Durazz.","SILKTREE"
"ALLAL3","Aliciella latifolia (S. Watson) J.M. Porter ssp. latifolia","broadleaf gilia"
"ALLE3","Allium lemmonii S. Watson","Lemmon onion"
"ALLE7","Aliciella leptomeria (A. Gray) J.M. Porter","slender gilia"
"ALLEN","Allenrolfea Kuntze","Allenrolfea"
"ALLIO","Allionia L.","Allionia"
"ALLIU","Allium L.","onion"
"ALLO6","Aliciella lottiae (Day) J.M. Porter","Lott's gilia"
